mu,km,rm,kp,V_birth,num_lineages,num_generations,mRNA_birth_avg,mRNA_birth_CV,prot_birth_avg,prot_birth_CV,prot_birth_conc_avg,prot_birth_conc_CV
0.00833333333333333,0.0538886509413538,0.15820844999008,1.00000470997907,0.279142040322879,50000,15,0.17168,2.41043168750554,40.40426,0.369395178340745,144.908100992228,0.363187860015157
0.0133333333333333,0.0961033661432822,0.154292647214462,0.987752363768883,0.351615682654384,50000,15,0.31374,1.77931212476228,44.67152,0.35211506628662,127.386167475416,0.345319579923969
0.0183333333333333,0.140271639458071,0.150376844438843,0.975500017558698,0.442905655291133,50000,15,0.4669,1.46043077143987,47.02324,0.342143328546722,106.537034355272,0.333731539044354
0.0233333333333333,0.185400745814258,0.146461041663225,0.963247671348513,0.557897241692959,50000,15,0.62656,1.26743714527198,48.69418,0.33611323007461,87.7416292406732,0.329703369114711
0.0283333333333333,0.231545120674925,0.142545238887607,0.950995325138328,0.702744091366412,50000,15,0.80942,1.11770950985786,49.74942,0.334723524650816,71.2673623691284,0.32685222025288
0.0333333333333333,0.279459339463851,0.138629436111989,0.938742978928143,0.885197525716027,50000,15,1.00346,1.00314141642049,50.6459,0.332082670113088,57.6664248396697,0.323730725133592
0.0383333333333333,0.330261345625684,0.134713633336371,0.926490632717957,1.11502134156717,50000,15,1.20052,0.913591022508747,51.57134,0.328153513517501,46.6404845059981,0.320167104650007
0.0433333333333333,0.385222101439453,0.130797830560753,0.914238286507772,1.40451431011917,50000,15,1.43014,0.841461015511276,52.79698,0.323612984800609,37.8802734936647,0.315960297326973
0.0483333333333333,0.445671597966219,0.126882027785135,0.901985940297587,1.76916833229125,50000,15,1.68056,0.772175395896512,54.0134,0.319020004429362,30.8305505347602,0.310695886624141
0.0533333333333333,0.512977658964737,0.122966225009517,0.889733594087402,2.2284974709276,50000,15,1.9673,0.71515390576315,55.99804,0.313851849895655,25.4242605941075,0.305574744669775
0.0583333333333333,0.588561684796983,0.119050422233898,0.877481247877217,2.80708222461736,50000,15,2.29336,0.665489312941242,58.22572,0.309683874707614,20.9649881827482,0.300168397188851
